iter	Passed	Remaining
0	51	25563
1	97	24265
2	142	23561
3	188	23337
4	235	23304
5	283	23353
6	329	23190
7	374	23005
8	418	22804
9	464	22741
10	509	22654
11	554	22557
12	599	22448
13	643	22336
14	691	22353
15	736	22266
16	779	22136
17	824	22073
18	869	22017
19	915	21968
20	963	21969
21	1008	21910
22	1052	21823
23	1096	21744
24	1139	21647
25	1185	21608
26	1229	21534
27	1273	21470
28	1320	21440
29	1365	21389
30	1408	21302
31	1451	21233
32	1496	21182
33	1542	21137
34	1587	21090
35	1636	21092
36	1682	21053
37	1726	20989
38	1770	20925
39	1813	20850
40	1857	20794
41	1904	20769
42	1952	20752
43	1998	20715
44	2044	20670
45	2089	20625
46	2135	20579
47	2180	20530
48	2225	20486
49	2270	20431
50	2314	20377
51	2360	20339
52	2406	20293
53	2451	20250
54	2499	20220
55	2543	20165
56	2588	20121
57	2633	20072
58	2679	20027
59	2722	19962
60	2765	19899
61	2810	19855
62	2854	19803
63	2897	19739
64	2942	19690
65	2983	19621
66	3029	19576
67	3072	19522
68	3118	19478
69	3164	19440
70	3210	19398
71	3252	19332
72	3295	19275
73	3339	19222
74	3382	19167
75	3427	19121
76	3473	19080
77	3516	19024
78	3560	18972
79	3604	18924
80	3647	18869
81	3692	18820
82	3735	18766
83	3784	18741
84	3846	18782
85	3906	18806
86	3961	18804
87	4005	18753
88	4047	18691
89	4093	18646
90	4138	18602
91	4181	18544
92	4228	18503
93	4273	18459
94	4319	18416
95	4364	18366
96	4410	18323
97	4459	18291
98	4504	18245
99	4548	18193
100	4592	18142
101	4636	18090
102	4680	18040
103	4724	17987
104	4766	17930
105	4810	17879
106	4854	17828
107	4896	17771
108	4939	17717
109	4985	17675
110	5029	17624
111	5072	17572
112	5117	17526
113	5159	17470
114	5202	17415
115	5244	17360
116	5288	17313
117	5336	17274
118	5382	17233
119	5428	17189
120	5481	17169
121	5529	17133
122	5575	17088
123	5620	17043
124	5665	16996
125	5708	16945
126	5754	16901
127	5799	16854
128	5855	16841
129	5908	16815
130	5954	16772
131	5999	16726
132	6051	16699
133	6094	16645
134	6136	16592
135	6183	16550
136	6228	16504
137	6273	16455
138	6317	16407
139	6362	16360
140	6407	16313
141	6452	16268
142	6504	16238
143	6576	16259
144	6911	16921
145	7186	17424
146	7239	17385
147	7282	17321
148	7331	17271
149	7378	17216
150	7422	17154
151	7467	17096
152	7514	17042
153	7557	16979
154	7599	16915
155	7642	16852
156	7685	16789
157	7726	16724
158	7768	16659
159	7805	16587
160	7847	16524
161	7887	16457
162	7929	16393
163	7969	16327
164	8011	16265
165	8052	16201
166	8096	16144
167	8136	16080
168	8178	16018
169	8219	15955
170	8260	15892
171	8301	15831
172	8341	15766
173	8384	15708
174	8427	15650
175	8469	15590
176	8512	15533
177	8553	15472
178	8594	15412
179	8637	15354
180	8678	15294
181	8716	15229
182	8758	15171
183	8798	15110
184	8840	15053
185	8850	14941
186	8892	14884
187	8934	14827
188	8978	14773
189	9022	14720
190	9065	14665
191	9110	14614
192	9151	14557
193	9193	14500
194	9235	14445
195	9277	14389
196	9320	14336
197	9364	14283
198	9405	14226
199	9446	14170
200	9489	14115
201	9530	14059
202	9576	14011
203	9631	13975
204	9678	13928
205	9886	14110
206	10061	14241
207	10238	14372
208	10424	14513
209	10561	14585
210	10805	14799
211	11123	15111
212	11324	15258
213	11376	15203
214	11421	15139
215	11472	15084
216	11529	15035
217	11583	14984
218	11651	14949
219	11721	14918
220	11783	14876
221	11836	14822
222	11887	14766
223	11940	14711
224	11998	14665
225	12052	14612
226	12115	14571
227	12172	14521
228	12220	14462
229	12273	14408
230	12326	14353
231	12372	14292
232	12417	14229
233	12464	14169
